날짜,종가
2014- 01- 03,"7,755"
2014- 01- 06,"7,735"
2014- 01- 07,"7,715"
2014- 01- 08,"7,715"
2014- 01- 09,"7,760"
2014- 01- 10,"7,825"
2014- 01- 13,"7,780"
2014- 01- 14,"7,785"
2014- 01- 15,"7,760"
2014- 01- 16,"7,730"
2014- 01- 17,"7,805"
2014- 01- 20,"7,750"
2014- 01- 21,"7,690"
2014- 01- 22,"7,695"
2014- 01- 23,"7,790"
2014- 01- 24,"7,820"
2014- 01- 27,"7,915"
2014- 01- 28,"7,890"
2014- 01- 29,"7,805"
2014- 02- 03,"7,910"
2014- 02- 04,"8,075"
2014- 02- 05,"8,035"
2014- 02- 06,"7,965"
2014- 02- 07,"7,905"
2014- 02- 10,"7,905"
2014- 02- 11,"7,865"
2014- 02- 12,"7,845"
2014- 02- 13,"7,915"
2014- 02- 14,"7,815"
2014- 02- 17,"7,810"
2014- 02- 18,"7,805"
2014- 02- 19,"7,850"
2014- 02- 20,"7,895"
2014- 02- 21,"7,770"
2014- 02- 24,"7,800"
2014- 02- 25,"7,740"
2014- 02- 26,"7,710"
2014- 02- 27,"7,695"
2014- 02- 28,"7,695"
2014- 03- 03,"7,750"
2014- 03- 04,"7,775"
2014- 03- 05,"7,695"
2014- 03- 06,"7,695"
2014- 03- 07,"7,715"
2014- 03- 10,"7,815"
2014- 03- 11,"7,780"
2014- 03- 12,"7,905"
2014- 03- 13,"7,870"
2014- 03- 14,"7,965"
2014- 03- 17,"7,930"
2014- 03- 18,"7,880"
2014- 03- 19,"7,880"
2014- 03- 20,"7,980"
2014- 03- 21,"7,910"
2014- 03- 24,"7,870"
2014- 03- 25,"7,885"
2014- 03- 26,"7,775"
2014- 03- 27,"7,725"
2014- 03- 28,"7,725"
2014- 03- 31,"7,715"
2014- 04- 01,"7,680"
2014- 04- 02,"7,660"
2014- 04- 03,"7,660"
2014- 04- 04,"7,630"
2014- 04- 07,"7,655"
2014- 04- 08,"7,605"
2014- 04- 09,"7,600"
2014- 04- 10,"7,580"
2014- 04- 11,"7,640"
2014- 04- 14,"7,620"
2014- 04- 15,"7,670"
2014- 04- 16,"7,635"
2014- 04- 17,"7,650"
2014- 04- 18,"7,590"
2014- 04- 21,"7,605"
2014- 04- 22,"7,605"
2014- 04- 23,"7,615"
2014- 04- 24,"7,625"
2014- 04- 25,"7,745"
2014- 04- 28,"7,735"
2014- 04- 29,"7,775"
2014- 04- 30,"7,805"
2014- 05- 02,"7,815"
2014- 05- 07,"7,895"
2014- 05- 08,"7,855"
2014- 05- 09,"7,850"
2014- 05- 12,"7,805"
2014- 05- 13,"7,690"
2014- 05- 14,"7,590"
2014- 05- 15,"7,590"
2014- 05- 16,"7,600"
2014- 05- 19,"7,590"
2014- 05- 20,"7,590"
2014- 05- 21,"7,585"
2014- 05- 22,"7,550"
2014- 05- 23,"7,565"
2014- 05- 26,"7,580"
2014- 05- 27,"7,660"
2014- 05- 28,"7,580"
2014- 05- 29,"7,590"
2014- 05- 30,"7,645"
2014- 06- 02,"7,630"
