date,stock1,stock2,stock3,stock4,stock5,stock6,stock7,stock8,stock9,stock10,stock11,stock12,stock13,stock14,stock15,stock16,stock17,stock18,stock19,stock20,stock21,stock22,stock23,stock24,stock25,stock26,stock27,stock28,stock29,stock30,stock31,stock32,stock33,stock34,stock35,stock36,stock37,stock38,stock39,stock40,stock41,stock42,stock43,stock44,stock45,stock46,stock47,stock48,stock49,stock50
2005-01-03,5930.0,15760.0,17670.0,5490.0,60000.0,34220.0,5380.0,30200.0,66570.0,55550.0,10950.0,3600.0,53000.0,12330.0,4940.0,4170.0,660.0,6400.0,33780.0,2860.0,32390.0,810.0,270.0,3550.0,24110.0,42660.0,35250.0,51910.0,9540.0,36460.0,2790.0,830.0,9150.0,210.0,16360.0,720,1040.0,140.0,11170.0,10140.0,12750.0,2380.0,42670.0,3490.0,12630.0,5280.0,5940.0,6800.0,1300.0,3540.0
2005-07-01,5930.0,15760.0,60000.0,34220.0,5490.0,17670.0,5380.0,30200.0,10950.0,66570.0,55550.0,53000.0,660.0,3600.0,33780.0,4170.0,12330.0,4940.0,2860.0,270.0,3550.0,6400.0,810.0,32390.0,9540.0,24110.0,42660.0,35250.0,720.0,47040.0,51910.0,2790.0,36460.0,830.0,10140.0,2380,210.0,700.0,1040.0,16360.0,12630.0,9150.0,140.0,12750.0,42670.0,36570.0,5940.0,11170.0,5280.0,3490.0
2006-01-02,5930.0,60000.0,15760.0,5380.0,5490.0,660.0,53000.0,34220.0,55550.0,17670.0,66570.0,30200.0,270.0,86790.0,4940.0,4170.0,12330.0,10950.0,33780.0,24110.0,3600.0,810.0,9540.0,42660.0,3550.0,6400.0,720.0,47040.0,32390.0,35250.0,16360.0,10140.0,51910.0,5940.0,830.0,12630,42670.0,2790.0,9150.0,1040.0,140.0,36460.0,210.0,3490.0,2380.0,5280.0,700.0,12750.0,36570.0,11170.0
2006-07-03,5930.0,60000.0,15760.0,5490.0,5380.0,17670.0,55550.0,53000.0,660.0,34220.0,30200.0,23530.0,1740.0,86790.0,33780.0,4170.0,66570.0,9540.0,3600.0,10950.0,4940.0,12330.0,24110.0,810.0,32390.0,270.0,32710.0,42660.0,10140.0,720.0,47040.0,830.0,34020.0,35250.0,16360.0,12630,6400.0,1040.0,42670.0,5940.0,36460.0,3490.0,9150.0,2380.0,210.0,51910.0,140.0,5280.0,700.0,2790.0
2007-01-02,5930.0,15760.0,5490.0,60000.0,55550.0,17670.0,53000.0,660.0,5380.0,30200.0,23530.0,4170.0,34220.0,86790.0,3600.0,9540.0,33780.0,66570.0,4940.0,1740.0,810.0,32710.0,10950.0,12330.0,24110.0,47040.0,720.0,32390.0,42660.0,10140.0,830.0,270.0,34020.0,12630.0,35250.0,42670,1040.0,16360.0,9150.0,36460.0,6400.0,2380.0,51910.0,5940.0,3490.0,210.0,140.0,700.0,5280.0,2790.0
2007-07-02,5930.0,5490.0,60000.0,9540.0,15760.0,55550.0,53000.0,3600.0,17670.0,5380.0,660.0,34220.0,30200.0,4170.0,10140.0,66570.0,23530.0,42660.0,33780.0,86790.0,34020.0,47040.0,4940.0,810.0,10950.0,12330.0,24110.0,720.0,830.0,6360.0,6800.0,1740.0,42670.0,32390.0,12630.0,16360,210.0,51910.0,35250.0,270.0,36460.0,2380.0,78930.0,47050.0,5940.0,9150.0,3490.0,1040.0,6400.0,140.0
2008-01-02,5930.0,5490.0,9540.0,15760.0,60000.0,55550.0,17670.0,34220.0,96770.0,53000.0,5380.0,66570.0,30200.0,4170.0,34020.0,810.0,23530.0,660.0,33780.0,830.0,86790.0,720.0,42660.0,3600.0,4940.0,10140.0,10950.0,47040.0,6360.0,12330.0,24110.0,12630.0,210.0,51910.0,16360.0,6800,32390.0,3490.0,2380.0,78930.0,1740.0,35250.0,36460.0,42670.0,47050.0,270.0,5940.0,9150.0,6400.0,1040.0
2008-07-01,5930.0,5490.0,9540.0,60000.0,15760.0,55550.0,66570.0,5380.0,17670.0,34220.0,53000.0,33780.0,30200.0,3550.0,660.0,96770.0,4170.0,810.0,34020.0,23530.0,4940.0,10140.0,830.0,86790.0,51910.0,720.0,10950.0,42660.0,12330.0,24110.0,4020.0,3600.0,36460.0,6360.0,32390.0,11200,47040.0,35250.0,42670.0,2380.0,16360.0,1740.0,47050.0,12630.0,270.0,78930.0,6800.0,210.0,3490.0,9150.0
2009-01-02,5930.0,5490.0,15760.0,17670.0,9540.0,105560.0,55550.0,33780.0,66570.0,30200.0,5380.0,810.0,4170.0,34220.0,3550.0,96770.0,10950.0,720.0,34020.0,830.0,12330.0,23530.0,10140.0,51910.0,32390.0,53000.0,11200.0,3600.0,16360.0,36460.0,86790.0,4940.0,24110.0,4020.0,42660.0,660,6360.0,2380.0,47040.0,35250.0,3490.0,6800.0,42670.0,78930.0,9150.0,12630.0,270.0,47050.0,1740.0,210.0
2009-07-01,5930.0,5490.0,15760.0,66570.0,105560.0,5380.0,55550.0,9540.0,17670.0,34220.0,3550.0,4170.0,30200.0,33780.0,12330.0,810.0,96770.0,51910.0,35420.0,53000.0,660.0,23530.0,4940.0,830.0,34020.0,10140.0,24110.0,720.0,86790.0,10950.0,29780.0,3600.0,4020.0,16360.0,270.0,10060,47040.0,2380.0,6360.0,42660.0,36460.0,6800.0,1740.0,35250.0,11200.0,12630.0,78930.0,47050.0,3490.0,42670.0
