"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 03- 30","1,756","1,796","1,802","1,749","301.17M","3.11%"
"2026- 03- 27","1,703","1,757","1,779","1,698","395.14M","0.47%"
"2026- 03- 26","1,695","1,658","1,703","1,654","241.20M","3.35%"
"2026- 03- 25","1,640","1,623","1,644","1,600","225.53M","-1.20%"
"2026- 03- 24","1,660","1,630","1,717","1,630","484.61M","-3.15%"
"2026- 03- 23","1,714","1,675","1,721","1,668","309.02M","6.66%"
"2026- 03- 20","1,607","1,592","1,609","1,586","135.56M","0.19%"
"2026- 03- 19","1,604","1,606","1,614","1,576","319.51M","3.08%"
"2026- 03- 18","1,556","1,613","1,613","1,554","263.63M","-5.81%"
"2026- 03- 17","1,652","1,629","1,655","1,627","244.36M","-2.02%"
"2026- 03- 16","1,686","1,705","1,724","1,683","257.47M","-1.46%"
"2026- 03- 13","1,711","1,746","1,749","1,697","304.71M","1.72%"
"2026- 03- 12","1,682","1,689","1,700","1,666","266.04M","0.72%"
"2026- 03- 11","1,670","1,648","1,686","1,626","326.47M","-1.12%"
"2026- 03- 10","1,689","1,682","1,733","1,664","380.18M","-6.22%"
"2026- 03- 09","1,801","1,832","1,856","1,785","508.28M","6.32%"
"2026- 03- 06","1,694","1,739","1,758","1,685","499.10M","0.18%"
"2026- 03- 05","1,691","1,650","1,726","1,616","664.84M","-9.62%"
"2026- 03- 04","1,871","1,728","1,876","1,693","940.08M","12.37%"
"2026- 03- 03","1,665","1,575","1,665","1,564","442.92M","7.84%"
"2026- 02- 27","1,544","1,560","1,570","1,518","376.94M","1.05%"
"2026- 02- 26","1,528","1,592","1,594","1,527","340.36M","-4.44%"
"2026- 02- 25","1,599","1,619","1,630","1,582","266.59M","-2.02%"
"2026- 02- 24","1,632","1,674","1,695","1,632","223.77M","-2.51%"
"2026- 02- 23","1,674","1,654","1,691","1,644","202.69M","-0.65%"
"2026- 02- 20","1,685","1,722","1,726","1,683","179.93M","-2.32%"
"2026- 02- 19","1,725","1,733","1,747","1,722","142.66M","-2.98%"
"2026- 02- 13","1,778","1,784","1,791","1,752","243.70M","0.06%"
